,,Blank,,,,2018.02.15,,0,0,0,,-23.7542038,5.270358086,10.38252163,0.309170306,0.076435357,0.033800632,0.234882459,0.173650354,0.101000004,-0.001301718,-0.34799999,-0.555000007,,5.546632767,5.676721573,,1.070000052,,
2006.01.01,06L0045,BLANK,,99,,2006.01.10,1055,0.110,0.039,0.010,0.003,0.740,0.070,9.456,-0.010,-0.020,0.010,0.000,0.000,0.001,0,27,32,0,5.655,5.700,0,1.09,,
,,Blank,,,,2018.02.12,,0,0,1.00909996,,-14.53434563,7.368509769,8.967102051,0.015039884,-0.024866156,0.011990761,-0.026119545,-0.033102371,0.828999996,0.022098087,-0.289000005,-0.540000021,,5.518995285,5.633850574,,1.080000043,,0.01
,,AB,,,,2017.11.08,,0,0,1.248900056,,-26.96874046,,7.951330185,0.021453641,0.712894976,-0.074821249,0.137524113,0.340761572,0.30399999,0.615779638,-0.0232,-0.609000027,,5.505879879,5.448894978,,1.440000057,,
,,AB,,,,2017.11.06,,0,0.708800018,0,,12.73873997,,7.884722233,0.033160649,-0.008905418,-0.091661967,-0.04062926,0.11828056,-0.400000006,0.232586294,-0.068599999,-0.555999994,,5.324868202,5.311557293,,0.860000014,,
"Conformed Date
YYYY.MM.DD",Lab No.,PERMANENT_ID,lake.name,Station,"Depth
meters","Sample Date
YYYY.MM.DD","Time
HHMM","SO42-
mg L-1","NO3-
mg L-1","Cl-
mg L-1","F-
mg L-1","ANC
µeq L-1","DIC
mg L-1","DOC
mg L-1","SiO2
mg L-1","Ca2+
mg L-1","Mg2+
mg L-1","Na+
mg L-1","K+
mg L-1","NH4+
mg L-1","AL_TD
µg L-1","AL_TM
µg L-1","AL_OM
µg L-1",,,,,,,
,,Blank,,,0,2020.02.11,,0,0,1.58070004,,,0.100,7.522,-0.010,0.130,0.010,-0.010,0.000,-0.006,3,27,31,0,5.656,5.630,0,1.34,,
2006.01.01,06L0020,BLANK,,99,,2006.01.04,1050,0.100,0.029,-0.020,0.000,3.220,0.010,2.771,1.060,-0.230,-0.010,-0.050,-0.010,-0.035,11,,,,5.532,,0,1.52,,
1992.06.01,92L0009,BLANK,,99,,1992.06.08,1320,0.100,-0.004,-0.010,0.000,,0.030,2.730,1.070,-0.050,0.010,0.010,-0.080,-0.015,8,1,-18,1,5.618,5.600,0,1.46,,
1992.07.01,92L0208,BLANK,,99,,1992.07.16,1245,0.140,0.046,0.010,0.002,-2.880,-0.060,2.368,-0.010,-0.140,-0.010,-0.020,-0.070,0.099,5,11,1,10,5.655,5.670,0,1.26,,
